CustomerID,Lookalikes
C0001,"[('C0184', 0.998), ('C0048', 0.995), ('C0190', 0.991)]"
C0002,"[('C0088', 0.999), ('C0092', 0.98), ('C0106', 0.971)]"
C0003,"[('C0076', 0.983), ('C0052', 0.974), ('C0031', 0.967)]"
C0004,"[('C0169', 0.982), ('C0087', 0.979), ('C0165', 0.966)]"
C0005,"[('C0186', 0.999), ('C0140', 0.996), ('C0146', 0.995)]"
C0006,"[('C0126', 0.995), ('C0187', 0.995), ('C0011', 0.992)]"
C0007,"[('C0146', 1.0), ('C0115', 0.995), ('C0005', 0.995)]"
C0008,"[('C0160', 0.928), ('C0059', 0.919), ('C0079', 0.918)]"
C0009,"[('C0198', 1.0), ('C0061', 0.977), ('C0062', 0.972)]"
C0010,"[('C0062', 0.979), ('C0111', 0.976), ('C0103', 0.957)]"
C0011,"[('C0006', 0.992), ('C0137', 0.988), ('C0126', 0.984)]"
C0012,"[('C0163', 0.996), ('C0113', 0.987), ('C0104', 0.979)]"
C0013,"[('C0099', 0.988), ('C0108', 0.978), ('C0107', 0.864)]"
C0014,"[('C0060', 1.0), ('C0089', 0.931), ('C0172', 0.909)]"
C0015,"[('C0131', 0.984), ('C0036', 0.977), ('C0094', 0.97)]"
C0016,"[('C0183', 0.994), ('C0067', 0.976), ('C0098', 0.968)]"
C0017,"[('C0041', 0.975), ('C0057', 0.964), ('C0075', 0.957)]"
C0018,"[('C0122', 0.997), ('C0046', 0.989), ('C0194', 0.96)]"
C0019,"[('C0073', 0.998), ('C0167', 0.984), ('C0132', 0.984)]"
C0020,"[('C0157', 0.943), ('C0050', 0.923), ('C0035', 0.92)]"
